GEOID,County_Name,NOAA_CDD_Recent5yr,NOAA_CDD_Trend_perDecade,NOAA_Tmax_Summer_Recent5yr_F,NOAA_Tmax_Summer_Trend_perDecade_F,NOAA_Heat_Data_Recent_Year,HWAV_AFREQ,HWAV_RISKS,HWAV_RISKR,HWAV_EALT,HWAV_EALR,HWAV_ALR_NPCTL,SOVI_SCORE,RESL_SCORE,EAL_SCORE,NOAA_Tmax_Trend_Positive,Heat_Climate_Stress_Index,Heat_Climate_Data_Coverage_Pct,Heat_Climate_Source
17147,Piatt County,1103.6,-35.321,84.62,-0.929,2024,6.631578947368411,42.48554913294797,Relatively Low,291578.214997409,Relatively Low,9.400374765771392,24.61832061,88.89949109414759,44.399752475247524,0.0,25.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17149,Pike County,1203.4,-59.643,85.26,-1.246,2024,9.210526315789485,77.19974309569685,Relatively Low,1272929.466208023,Relatively Low,13.897564022485948,41.88931298,54.770992366412216,33.725247524752476,0.0,45.6,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17151,Pope County,1426.8,-124.857,86.34,-2.336,2024,9.684210526315784,34.0398201669878,Very Low,154280.29743448863,Very Low,14.86570893191755,47.48727735,8.874045801526718,14.603960396039604,0.0,35.3,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17153,Pulaski County,1613.2,-34.857,87.86,-1.668,2024,11.15789473684211,50.57803468208093,Relatively Low,264502.19705047103,Relatively Low,22.017489069331667,82.41094148,16.539440203562343,38.304455445544555,0.0,53.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17155,Putnam County,997.4,-43.536,84.08,-0.854,2024,6.526315789473678,19.396274887604367,Very Low,60732.44467362766,Very Low,16.708307307932543,34.76463104,79.89821882951654,11.943069306930692,0.0,13.2,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17157,Randolph County,1403.0,-146.179,86.56,-2.411,2024,11.368421052631563,89.24213230571611,Relatively Moderate,2569377.286362123,Relatively Moderate,13.05434103685197,55.75699746,80.18447837150127,76.94925742574257,0.0,58.9,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17159,Richland County,1280.2,-84.464,85.32,-1.971,2024,8.000000000000002,64.12973667308928,Relatively Low,586593.0419481178,Relatively Low,6.870705808869457,66.85750636,88.29516539440203,43.038366336633665,0.0,40.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17161,Rock Island County,1052.4,19.464,84.18,0.025,2024,7.210526315789487,93.35260115606935,Relatively Moderate,3972827.5313364905,Relatively Moderate,4.590880699562773,60.24173028,87.24554707379136,82.11633663366337,0.025,44.0,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17163,St. Clair County,1468.2,-118.821,87.46,-1.721,2024,14.789473684210531,98.13744380218368,Relatively High,15135349.065744797,Relatively High,22.73579013116802,37.84987277,74.93638676844783,95.08044554455446,0.0,69.4,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
17165,Saline County,1398.2,-107.357,86.54,-2.004,2024,9.684210526315812,78.45215157353886,Relatively Low,992434.4215183292,Relatively Low,7.526545908806996,84.70101781,61.45038167938931,61.32425742574258,0.0,52.5,100.0,NOAA Climate at a Glance county API (NCEI) + FEMA National Risk Index Counties service
