GEOID,County_Name,LandCover_Agricultural_Pct,LandCover_Forested_Pct,LandCover_UrbanBuiltUp_Pct,LandCover_Wetland_Pct,LandCover_Agricultural_Rank,LandCover_Forested_Rank,LandCover_UrbanBuiltUp_Rank,LandCover_Wetland_Rank,Total_Site_Count,Chicago_Zoning_Site_Covered_Count,Chicago_Zoning_Residential_Site_Count,Chicago_Zoning_Industrial_Site_Count,Chicago_Zoning_Commercial_Site_Count,Chicago_Zoning_Special_Site_Count,Chicago_Zoning_Residential_Nearby500m_Count,Chicago_Zoning_Coverage_Pct,Chicago_Zoning_Residential_Site_Share_Pct,Chicago_Zoning_IndustrialCommercial_Site_Share_Pct,Chicago_Zoning_Residential_Nearby500m_Share_Pct,Zoning_Annoyance_Threshold_Index,Zoning_Allowance_Index,LandUse_Zoning_Data_Coverage_Pct,LandUse_Zoning_Source
17117,Macoupin County,76.3,17.4,3.0,2.7,59.0,25.0,31.0,59.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17119,Madison County,62.3,14.6,14.9,5.7,90.0,33.0,31.0,26.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17121,Marion County,67.2,20.7,3.3,8.2,78.0,15.0,31.0,18.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17123,Marshall County,83.9,7.3,2.4,3.5,33.0,70.0,31.0,46.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17125,Mason County,80.0,6.6,1.7,7.7,49.0,74.0,31.0,21.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17127,Massac County,67.6,15.7,4.6,10.3,77.0,29.0,31.0,9.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17129,Menard County,89.2,5.2,2.6,2.5,16.0,80.0,31.0,66.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17131,Mercer County,82.7,11.1,1.6,3.0,37.0,53.0,31.0,53.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17133,Monroe County,73.0,16.4,3.7,4.3,69.0,26.0,31.0,38.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17135,Montgomery County,81.7,11.8,2.7,2.8,40.0,50.0,31.0,58.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17137,Morgan County,84.0,9.4,3.2,2.4,31.0,63.0,31.0,69.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17139,Moultrie County,88.2,3.8,2.2,3.3,19.0,89.0,31.0,48.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17141,Ogle County,86.1,8.5,2.6,2.0,27.0,65.0,31.0,80.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17143,Peoria County,65.0,19.5,8.9,3.8,82.0,18.0,31.0,44.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17145,Perry County,74.2,10.2,2.9,9.4,64.0,60.0,31.0,12.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17147,Piatt County,94.4,1.4,2.3,1.9,4.0,97.0,31.0,83.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
17149,Pike County,77.5,15.8,2.0,2.4,55.0,28.0,31.0,68.0,,,,,,,,,,,,,,33.3,Illinois GIS Clearinghouse Land Cover 1999-2000 county statistics + Chicago Data Portal zoning districts (current)
