OBJECTID,ID,STATE_NAME,ST_ABBREV,ACSTOTPOP,MINORPCT,LOWINCPCT,PM25,OZONE,DSLPM,P_PM25,P_OZONE,P_DSLPM,P_CANCR,P_RESP,P_PTRAF
67321,171430044003,Illinois,IL,631,0.155309033280507,0.25040650406504,9.35259095890411,47.6043196078431,0.451973503,76.3924376903172,84.2585109983169,58.5955274870527,33.0173397311795,29.8493543366063,49.7780209742844
67322,171430044004,Illinois,IL,2065,0.217917675544794,0.462953995157385,9.35259095890411,47.6043196078431,0.451973503,76.3924376903172,84.2585109983169,58.5955274870527,33.0173397311795,29.8493543366063,37.6429171321186
67323,171430045001,Illinois,IL,919,0.353645266594124,0.198329853862212,9.24534821917808,47.4209032679739,0.314876894,72.833407460817,83.6759470763594,38.4906232249429,25.1267839759885,22.5627236783426,30.3305726180395
67324,171430045002,Illinois,IL,2159,0.0611394163964798,0.351551644279759,9.24534821917808,47.4209032679739,0.314876894,72.833407460817,83.6759470763594,38.4906232249429,25.1267839759885,22.5627236783426,35.917270581202
67325,171430045003,Illinois,IL,714,0.0490196078431372,0.193732193732193,9.24534821917808,47.4209032679739,0.314876894,72.833407460817,83.6759470763594,38.4906232249429,25.1267839759885,22.5627236783426,15.7544631897694
67326,171430045004,Illinois,IL,1087,0.0975160993560257,0.402023919043238,9.24534821917808,47.4209032679739,0.314876894,72.833407460817,83.6759470763594,38.4906232249429,25.1267839759885,22.5627236783426,59.4966569375332
67327,171430046001,Illinois,IL,1812,0.0640176600441501,0.432590855803048,9.34783178082192,47.4732679738562,0.332437799,76.226969744903,83.8475202310664,41.3701716509644,29.2600665004813,23.8666034604493,56.5050436349266
67328,171430046002,Illinois,IL,1020,0.0637254901960784,0.15,9.34783178082192,47.4732679738562,0.332437799,76.226969744903,83.8475202310664,41.3701716509644,29.2600665004813,23.8666034604493,28.8058439711761
67329,171430046003,Illinois,IL,1811,0.025952512424075,0.316139767054908,9.34783178082192,47.4732679738562,0.332437799,76.226969744903,83.8475202310664,41.3701716509644,29.2600665004813,23.8666034604493,62.0814821712884
67330,171430046004,Illinois,IL,876,0.047945205479452,0.204337899543379,9.34783178082192,47.4732679738562,0.332437799,76.226969744903,83.8475202310664,41.3701716509644,29.2600665004813,23.8666034604493,25.503655075643
67331,171430048011,Illinois,IL,1826,0.025191675794085402,0.0985442329227323,9.26699808219178,47.3685745098039,0.250797812,73.5605116359936,83.5338171680001,27.9942654676246,22.9378996374306,20.3784741057876,10.4455572931601
67332,171430048012,Illinois,IL,764,0.00916230366492146,0.159685863874345,9.26699808219178,47.3685745098039,0.250797812,73.5605116359936,83.5338171680001,27.9942654676246,22.9378996374306,20.3784741057876,16.7359659028285
67333,171430048013,Illinois,IL,2028,0.043885601577909196,0.25782414307004403,9.26699808219178,47.3685745098039,0.250797812,73.5605116359936,83.5338171680001,27.9942654676246,22.9378996374306,20.3784741057876,60.8917887825333
